complex_name,uniprot_1,uniprot_2,uniprot_3,uniprot_4,uniprot_5,complex_key,symbol_1,symbol_2,symbol_3,symbol_4,symbol_5
Thyrostimulin,Q86YW7,Q96T91,,,,Q86YW7_Q96T91,GPHB5,GPHA2,,,
Thyrotropin,P01215,P01222,,,,P01215_P01222,GLHA,TSHB,,,
TREM2_receptor,Q9NZC2,O43914,,,,O43914_Q9NZC2,TREM2,TYOBP,,,
Triiodothyronine_byDIO3,P55073,P01266,,,,P01266_P55073,IOD3,THYG,,,
TSLPR,P16871,Q9HC73,,,,P16871_Q9HC73,IL7RA,CRLF2,,,
Type_I_IFNR,P17181,P48551,,,,P17181_P48551,INAR1,INAR2,,,
Type_II_IFNR,P15260,P38484,,,,P15260_P38484,INGR1,INGR2,,,
Type_III_IFNR,Q08334,Q8IU57,,,,Q08334_Q8IU57,I10R2,INLR1,,,
5-HT_byTPH1_and_SLC6A4,P17752,P31645,,,,P17752_P31645,TPH1,SC6A4,,,
5-HT_byTPH1_and_SLC18A1,P17752,P54219,,,,P17752_P54219,TPH1,VMAT1,,,
5-HT_byTPH1_and_SLC18A2,P17752,Q05940,,,,P17752_Q05940,TPH1,VMAT2,,,
5-HT_byTPH2_and_SLC6A4,Q8IWU9,P31645,,,,P31645_Q8IWU9,TPH2,SC6A4,,,
5-HT_byTPH2_and_SLC18A1,Q8IWU9,P54219,,,,P54219_Q8IWU9,TPH2,VMAT1,,,
5-HT_byTPH2_and_SLC18A2,Q8IWU9,Q05940,,,,Q05940_Q8IWU9,TPH2,VMAT2,,,
5HTR3_complex,P46098,O95264,Q8WXA8,Q70Z44,A5X5Y0,A5X5Y0_O95264_P46098_Q70Z44_Q8WXA8,5HT3A,5HT3B,5HT3C,5HT3D,5HT3E
Acetylcholine_byCHAT_and_SLC10A4,Q96EP9,P28329,,,,P28329_Q96EP9,NTCP4,CLAT,,,
Acetylcholine_byCHAT_and_SLC18A3,Q16572,P28329,,,,P28329_Q16572,VACHT,CLAT,,,
Acetylcholine_byCHAT_and_SLC5A7,Q9GZV3,P28329,,,,P28329_Q9GZV3,SC5A7,CLAT,,,
Adenosine_byNT5E_and_SLC29A1,Q99808,P21589,,,,P21589_Q99808,S29A1,5NTD,,,
Adenosine_byNT5E_and_SLC29A2,Q14542,P21589,,,,P21589_Q14542,S29A2,5NTD,,,
Adenosine_byNT5E_and_SLC29A3,Q9BZD2,P21589,,,,P21589_Q9BZD2,S29A3,5NTD,,,
Adenosine_byNT5E_and_SLC29A4,Q7RTT9,P21589,,,,P21589_Q7RTT9,S29A4,5NTD,,,
Adrenaline_byPNMT_and_SLC18A1,P11086,P54219,,,,P11086_P54219,PNMT,VMAT1,,,
Adrenaline_byPNMT_and_SLC18A2,P11086,Q05940,,,,P11086_Q05940,PNMT,VMAT2,,,
b-PEA_byDDC,P20711,,,,,P20711,DDC,,,,
b-Endorphin_byPOMC,P01189,,,,,P01189,COLI,,,,
Dopamine_byDDC_and_SLC6A3,P20711,Q01959,,,,P20711_Q01959,DDC,SC6A3,,,
